Status,Nama Kapal,Flag State,Jenis Kapal,DWT,Capacity,EHP ME,No ME,MCR ME,PME,EHP AE,No AE,PAE,Vs,Vservice,Vref,MCRavg,Vapp,Vavg,Margin,Att. EEXI,Reference Line,Reduction Factor,Req. EEXI,Req - Att,Att/Req,Judgment
ACTIVE,ACACIA,PANAMA,Oil/Chemical Tanker,13565,13565,4900,1,4900,3675,43.8903,1,43.8903,10,5.1,9.898982992,4631.154792,13.14440569,13.57839448,0.678919724,12.35943774,11.73036658,0.1195625,10.32785462,-2.031583117,1.196709113,Not Comply
ACTIVE,ACADIA PARK,LIBERIA,Oil/Chemical Tanker,19996,19996,4900,1,4900,3675,183.75,2,367.5,5.3,5.3,5.246460986,5751.341177,12.48684212,13.86500506,0.693250253,9.69372231,9.706713226,0.19995,7.765855916,-1.927866394,1.248249055,Not Comply
ACTIVE,ABRAO COCHIN,PANAMA,Container,23623,23623,15785,1,15785,11838.75,545.96875,2,1091.9375,23,23,22.76766088,6312.227538,18.03963759,13.98997343,0.699498671,18.15222665,8.94839077,0.2,7.158712616,-10.99351404,2.535683107,Not Comply
ACTIVE,ACX CRYSTAL,PANAMA,Container,39565,39565,28880,1,28880,21660,791.5,3,2374.5,25.3,25.3,25.04442697,8418.206104,20.60897256,14.3837963,0.719189815,17.66643746,6.9573619,0.2,5.56588952,-12.10054794,3.174054641,Not Comply
ACTIVE,ACX DIAMOND,SINGAPORE,Container,39598,39598,28880,1,28880,21660,791.5,3,2374.5,24.8,24.8,24.54947782,8422.125136,20.60670023,14.38444185,0.719222093,17.65366117,6.954531826,0.2,5.563625461,-12.09003571,3.173049892,Not Comply
ACTIVE,ACX PEARL,LIBERIA,Container,39580,39580,28880,1,28880,21660,791.5,3,2374.5,25.7,25.7,25.44038629,8419.987661,20.60793942,14.3840898,0.71920449,17.66062759,6.956075067,0.2,5.564860054,-12.09576753,3.173597794,Not Comply
ACTIVE,AKA BHUM,SINGAPORE,Container,66940,66940,57200,1,57200,42900,1322.5,3,3967.5,28.8,28.8,28.50907102,11290.46747,24.14266635,14.79677008,0.739838504,17.34937191,5.382670806,0.2,4.306136645,-13.04323527,4.028987778,Not Comply
ACTIVE,ALEXANDRIA BRIDGE,PANAMA,Container,51314,51314,36160,1,36160,27120,928,3,2784,26.4,26.4,26.1333151,9733.317658,21.46174552,14.58653911,0.729326955,16.26253522,6.128262237,0.2,4.902609789,-11.35992543,3.317118008,Not Comply
ACTIVE,ALS SUMIRE,SINGAPORE,Container,17732,17732,9627,1,9627,7220.25,361.0125,3,1083.0375,20,20,19.79796598,5378.189579,15.88983737,13.77561168,0.688780584,17.73517336,10.29292189,0.17165,8.526141845,-9.209031516,2.080093633,Not Comply
ACTIVE,ANDERSON DRAGON,SINGAPORE,Container,21972,21972,15820,1,15820,11865,546.625,3,1639.875,21.5,21.5,21.28281343,6062.011252,18.2267802,13.93551759,0.69677588,20.27063185,9.270434408,0.2,7.416347527,-12.85428432,2.733236513,Not Comply
ACTIVE,ANL GIPPSLAND,LIBERIA,Container,90799,90799,64100,1,64100,48075,1451.875,3,4355.625,29,29,28.70705068,13385.14118,24.08587329,15.04159073,0.752079536,14.33953963,4.638620955,0.2,3.710896764,-10.62864286,3.864170991,Not Comply
ACTIVE,ANL TASMAN TRADER,PANAMA,Container,11793,11793,6900,1,6900,5175,258.75,3,776.25,17.4,17.4,17.22423041,4283.01506,15.00833684,13.47645917,0.673822959,20.23549652,12.55971509,0.0974125,11.33624185,-8.899254675,1.78502689,Not Comply
ACTIVE,APL ANTWERP,MALTA,Container,90647,90647,64100,1,64100,48075,1451.875,3,4355.625,29.1,29.1,28.80604051,13372.62757,24.091211,15.04023421,0.752011711,14.36040223,4.642415088,0.2,3.71393207,-10.64647016,3.866630288,Not Comply
ACTIVE,APL CALIFORNIA,MALTA,Container,72447,72447,62920,1,62920,47190,1429.75,3,4289.25,28.8,28.8,28.50907102,11799.93493,24.66276708,14.85987521,0.742993761,17.23366079,5.178959172,0.2,4.143167338,-13.09049345,4.159537712,Not Comply
ACTIVE,APL FLORIDA,MALTA,Container,72447,72447,62920,1,62920,47190,1429.75,3,4289.25,28.9,28.9,28.60806085,11799.93493,24.66276708,14.85987521,0.742993761,17.23366079,5.178959172,0.2,4.143167338,-13.09049345,4.159537712,Not Comply
ACTIVE,APL MINNESOTA,LIBERIA,Container,72912,72912,62920,1,62920,47190,1429.75,3,4289.25,28.9,28.9,28.60806085,11842.15651,24.6419069,14.86499388,0.743249694,17.13824806,5.162814583,0.2,4.130251666,-13.00799639,4.149444015,Not Comply
ACTIVE,APL NEW JERSEY,LIBERIA,Container,72912,72912,62920,1,62920,47190,1429.75,3,4289.25,28.6,28.6,28.31109136,11842.15651,24.6419069,14.86499388,0.743249694,17.13824806,5.162814583,0.2,4.130251666,-13.00799639,4.149444015,Not Comply
ACTIVE,ARAYA BHUM,SINGAPORE,Container,66940,66940,57200,1,57200,42900,1322.5,3,3967.5,28.8,28.8,28.50907102,11290.46747,24.14266635,14.79677008,0.739838504,17.34937191,5.382670806,0.2,4.306136645,-13.04323527,4.028987778,Not Comply
ACTIVE,ARCHERFISH,PANAMA,Container,6153,6153,2175,1,2175,1631.25,81.5625,3,244.6875,9.9,9.9,9.799993163,2978.655531,11.13192003,13.01268187,0.650634094,16.48253133,17.25273815,0.0269125,16.78842384,0.30589251,0.981779558,Comply
ACTIVE,ARGUS,LIBERIA,Container,81171,81171,61530,1,61530,46147.5,1403.6875,3,4211.0625,27.1,27.1,26.82624391,12573.22725,24.11442826,14.95110578,0.747555289,15.38934172,4.89942155,0.2,3.91953724,-11.46980448,3.926315984,Not Comply
ACTIVE,ARICA BRIDGE,PANAMA,Container,33304,33304,21735,1,21735,16301.25,657.53125,3,1972.59375,24.5,24.5,24.25250833,7646.337436,19.17808527,14.25102969,0.712551485,17.16823151,7.567530907,0.2,6.054024726,-11.11420679,2.835837693,Not Comply
ACTIVE,ARIES,LIBERIA,Container,81171,81171,61350,1,61350,46012.5,1400.3125,3,4200.9375,27.3,27.3,27.02422357,12573.22725,24.09089049,14.95110578,0.747555289,15.36006491,4.89942155,0.2,3.91953724,-11.44052767,3.91884653,Not Comply
